1 25
2 15
3 11
4 10
5 10
6 10
7 10
8 11
9 10
10 11
11 12
12 13
13 14
14 17
15 17
16 19
17 20
18 26
19 30
20 31
21 30
22 31
23 31
24 31
25 31
26 31
27 31
28 31
29 44
30 31
31 31
32 32
